Time [s],Packet ID,MOSI,MISO
0.0009781,93,0x75,0x76
0.0009801,93,0x76,0x77
0.0009865,94,0x78,0x79
0.0009885,94,0x79,0x7A
0.0009905,94,0x7A,0x7B
0.0009969,95,0x7C,0x7D
0.0009989,95,0x7D,0x7E
0.0010009,95,0x7E,0x7F
0.0010073,96,0x80,0x81
0.0010093,96,0x81,0x82
0.0010113,96,0x82,0x83
0.0010177,97,0x84,0x85
0.0010197,97,0x85,0x86
0.0010217,97,0x86,0x87
0.0010281,98,0x88,0x89
0.0010301,98,0x89,0x8A
0.0010321,98,0x8A,0x8B
0.0010385,99,0x8C,0x8D
0.0010405,99,0x8D,0x8E
0.0010425,99,0x8E,0x8F
0.0010489,100,0x90,0x91
0.0010509,100,0x91,0x92
0.0010529,100,0x92,0x93
0.0010593,101,0x94,0x95
0.0010613,101,0x95,0x96
0.0010633,101,0x96,0x97
0.0010697,102,0x98,0x99
0.0010717,102,0x99,0x9A
0.0010737,102,0x9A,0x9B
0.0010801,103,0x9C,0x9D
0.0010821,103,0x9D,0x9E
0.0010841,103,0x9E,0x9F
0.0010905,104,0xA0,0xA1
0.0010925,104,0xA1,0xA2
0.0010945,104,0xA2,0xA3
0.0011009,105,0xA4,0xA5
0.0011029,105,0xA5,0xA6
0.0011049,105,0xA6,0xA7
0.0011113,106,0xA8,0xA9
0.0011133,106,0xA9,0xAA
0.0011153,106,0xAA,0xAB
0.0011217,107,0xAC,0xAD
0.0011237,107,0xAD,0xAE
0.0011257,107,0xAE,0xAF
0.0011321,108,0xB0,0xB1
0.0011341,108,0xB1,0xB2
0.0011361,108,0xB2,0xB3
0.0011425,109,0xB4,0xB5
0.0011445,109,0xB5,0xB6
0.0011465,109,0xB6,0xB7
0.0011529,110,0xB8,0xB9
0.0011549,110,0xB9,0xBA
0.0011569,110,0xBA,0xBB
0.0011633,111,0xBC,0xBD
0.0011653,111,0xBD,0xBE
0.0011673,111,0xBE,0xBF
0.0011737,112,0xC0,0xC1
0.0011757,112,0xC1,0xC2
0.0011777,112,0xC2,0xC3
0.0011841,113,0xC4,0xC5
0.0011861,113,0xC5,0xC6
0.0011881,113,0xC6,0xC7
0.0011945,114,0xC8,0xC9
0.0011965,114,0xC9,0xCA
0.0011985,114,0xCA,0xCB
0.0012049,115,0xCC,0xCD
0.0012069,115,0xCD,0xCE
0.0012089,115,0xCE,0xCF
0.0012153,116,0xD0,0xD1
0.0012173,116,0xD1,0xD2
0.0012193,116,0xD2,0xD3
0.0012257,117,0xD4,0xD5
0.0012277,117,0xD5,0xD6
0.0012297,117,0xD6,0xD7
0.0012361,118,0xD8,0xD9
0.0012381,118,0xD9,0xDA
0.0012401,118,0xDA,0xDB
0.0012465,119,0xDC,0xDD
0.0012485,119,0xDD,0xDE
0.0012505,119,0xDE,0xDF
0.0012569,120,0xE0,0xE1
0.0012589,120,0xE1,0xE2
0.0012609,120,0xE2,0xE3
0.0012673,121,0xE4,0xE5
0.0012693,121,0xE5,0xE6
0.0012713,121,0xE6,0xE7
0.0012777,122,0xE8,0xE9
0.0012797,122,0xE9,0xEA
0.0012817,122,0xEA,0xEB
0.0012881,123,0xEC,0xED
0.0012901,123,0xED,0xEE
0.0012921,123,0xEE,0xEF
0.0012985,124,0xF0,0xF1
0.0013005,124,0xF1,0xF2
0.0013025,124,0xF2,0xF3
0.0013089,125,0xF4,0xF5
